smiles,log_solubility,mol_weight,logp,tpsa,h_donors,h_acceptors,rotatable_bonds,aromatic_rings
C=CCC1(CC=C)C(=O)NC(=O)NC1=O,0.3822,208.22,0.49,75.27,2,3,4,0
CCC1(C)C(=O)NC(=O)NC1=O,0.793,170.17,-0.23,75.27,2,3,1,0
CCC1(CC=C(C)C)C(=O)NC(=O)NC1=O,0.297,224.26,1.11,75.27,2,3,3,0
C=C(Br)CC1(C(C)CC)C(=O)NC(=O)NC1=O,0.1064,303.16,1.68,75.27,2,3,4,0
CC1(C)C(=O)NC(=O)NC1=O,0.5443,156.14,-0.62,75.27,2,3,0,0
CC(C)=CCC1(C(C)C)C(=O)NC(=O)NC1=O,0.1325,238.29,1.35,75.27,2,3,3,0
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(C(=O)CO)CCC12,-0.2821,330.47,3.7,54.37,1,3,2,0
CC12CCC(=O)C=C1CCC1C3CCC(O)(C(=O)CO)C3(C)CC(O)C12F,-0.2725,380.46,1.87,94.83,3,5,2,0
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-1.3515,312.45,3.88,37.3,1,2,0,0
CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O,-0.5478,302.46,4.27,37.3,1,2,0,0
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,-0.108,362.47,1.78,94.83,3,5,2,0
CC(=O)OCC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-0.8531,372.51,4.27,60.44,0,4,3,0
CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-0.7515,314.47,4.72,34.14,0,2,1,0
CC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-1.1212,330.47,4.45,43.37,0,3,1,0
CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-0.4597,330.47,3.84,54.37,1,3,1,0
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C=O)C(C(=O)CO)CCC12,-0.4757,360.45,1.85,91.67,2,5,3,0
CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-1.2112,344.5,4.84,43.37,0,3,2,0
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,-0.5579,288.43,3.88,37.3,1,2,0,0
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,-0.9741,404.5,2.35,100.9,2,6,3,0
CC(=O)OC1(C)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-1.1695,344.5,4.84,43.37,0,3,1,0
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(C(=O)CO)CCC12,-0.1805,346.47,2.67,74.6,2,4,2,0
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(O)C3CCC21C,-0.8241,314.43,2.61,57.53,2,3,0,0
C#CC1(OC(C)=O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,-0.9354,340.46,4.06,43.37,0,3,1,0
CCNc1nc(Cl)nc(N(CC)CC)n1,-0.5773,229.71,1.8,53.94,1,5,5,1
CCNc1nc(Cl)nc(NC(C)C)n1,-0.4757,215.69,1.78,62.73,2,5,4,1
CCN(CC)c1nc(Cl)nc(NC(C)C)n1,-0.4442,243.74,2.19,53.94,1,5,5,1
COc1nc(NC(C)C)nc(NC(C)C)n1,0.1882,225.3,1.52,71.96,2,6,5,1
CCN(CC)c1nc(Cl)nc(N(CC)CC)n1,-0.7471,257.77,2.22,45.15,0,5,6,1
CCNc1nc(NC(C)C)nc(SC)n1,-0.0838,227.34,1.85,62.73,2,6,5,1
CCNc1nc(NC(C)(C)C)nc(SC)n1,-0.5483,241.36,2.24,62.73,2,6,4,1
CCNc1nc(NC(C)C)nc(OC)n1,0.3788,211.27,1.13,71.96,2,6,5,1
CCNc1nc(Cl)nc(NCC)n1,-0.8144,201.66,1.39,62.73,2,5,4,1
CSc1nc(N(C)C)nc(N(C)C)n1,0.0924,213.31,0.73,45.15,0,6,3,1
COCCCNc1nc(NC(C)C)nc(SC)n1,-0.0296,271.39,1.86,71.96,2,7,8,1
CCNc1nc(Cl)nc(NC(C)(C)C#N)n1,-0.137,240.7,1.67,86.52,2,6,4,1
CN(C)c1nc(N(C)C)nc(N(C)C)n1,-0.2405,210.28,0.07,48.39,0,6,3,1
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,-0.7563,229.72,2.17,62.73,2,5,4,1
CSc1nc(NC(C)C)nc(NC(C)C)n1,-0.5967,241.36,2.23,62.73,2,6,5,1
CCNc1nc(NC(C)(C)C)nc(OC)n1,-0.1801,225.3,1.52,71.96,2,6,4,1
c1ccncc1,1.7549,79.1,1.08,12.89,0,1,0,1
Cc1ccncc1C,1.5613,107.16,1.7,12.89,0,1,0,1
Cc1cccc(C)n1,1.6049,107.16,1.7,12.89,0,1,0,1
Cc1cccnc1C,1.571,107.16,1.7,12.89,0,1,0,1
Oc1ccccn1,1.8807,95.1,0.79,33.12,1,2,0,1
Cc1ccnc(C)c1,1.571,107.16,1.7,12.89,0,1,0,1
CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,-1.3563,350.59,4.72,40.58,0,5,6,1
NNC(=O)c1ccncc1,1.3915,137.14,-0.31,68.01,2,3,1,1
COC(=O)c1cccnc1,1.1646,137.14,0.87,39.19,0,3,1,1
CCc1ccccn1,1.6339,107.16,1.64,12.89,0,1,1,1
Cc1cncc(C)c1,1.571,107.16,1.7,12.89,0,1,0,1
NC(=O)c1cccnc1,1.6823,122.13,0.18,55.98,1,2,1,1
Clc1cccc(C(Cl)(Cl)Cl)n1,-0.4321,230.91,3.56,12.89,0,1,0,1
Oc1ccncc1,1.8807,95.1,0.79,33.12,1,2,0,1
COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,-1.9466,345.65,5.21,18.46,0,2,4,2
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,-2.0966,320.05,5.93,0.0,0,0,3,2
OC(c1ccccc1)c1ccccc1,0.1533,184.24,2.77,20.23,1,1,2,2
OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,-1.3544,370.49,5.6,20.23,1,1,2,2
Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,-1.7628,320.05,5.93,0.0,0,0,3,2
CC(C)OC(=O)C(O)(c1ccc(Cl)cc1)c1cccc(Cl)c1,-0.8047,339.22,4.18,46.53,1,3,4,2
CN(C)C(=O)C(c1ccccc1)c1ccccc1,-0.0547,239.32,2.91,20.31,0,1,3,2
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,-2.0724,354.49,6.5,0.0,0,0,2,2
c1ccc(Cc2ccccc2)cc1,-0.587,168.24,3.28,0.0,0,0,2,2
CC(C)OC(=O)C(O)(c1ccc(Br)cc1)c1ccc(Br)cc1,-0.9983,428.12,4.4,46.53,1,3,4,2
Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,-0.5255,269.13,4.0,40.46,2,2,2,2
CC1CCC(C(C)C)C(O)C1,0.163,156.27,2.44,20.23,1,1,1,0
OC1CCCCC1,1.1743,100.16,1.31,20.23,1,1,0,0
CCSC(=O)N(CC)C1CCCCC1,-0.258,215.36,3.51,20.31,0,2,3,0
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-0.8579,290.83,3.64,0.0,0,0,0,0
CC1CCC(C)CC1,-0.7757,112.22,2.83,0.0,0,0,0,0
C1CCCCC1,-0.1128,84.16,2.34,0.0,0,0,0,0
CC1CCCCC1,-0.4757,98.19,2.59,0.0,0,0,0,0
CC1CCCCC1C,-0.6934,112.22,2.83,0.0,0,0,0,0
CCC1CCCCC1,-0.6692,112.22,2.98,0.0,0,0,1,0
OC1C(O)C(O)C(O)C(O)C1O,1.5565,180.16,-3.83,121.38,6,6,0,0
Cc1ncnc2nccnc12,1.1617,146.15,0.73,51.56,0,4,0,2
Oc1ncc2nccnc2n1,0.4451,148.12,0.13,71.79,1,5,0,2
COc1cnc2ncncc2n1,0.836,162.15,0.43,60.79,0,5,1,2
COc1ncnc2nccnc12,0.8501,162.15,0.43,60.79,0,5,1,2
COc1ncc2nccnc2n1,0.8501,162.15,0.43,60.79,0,5,1,2
Cc1ncc2nccnc2n1,1.3291,146.15,0.73,51.56,0,4,0,2
Cc1cnc2cncnc2n1,0.9739,146.15,0.73,51.56,0,4,0,2
COc1cnc2cncnc2n1,0.9468,162.15,0.43,60.79,0,5,1,2
c1cnc2ncncc2n1,1.3968,132.13,0.42,51.56,0,4,0,2
CC12C=CC(=O)C=C1CCC1C3CC(O)C(O)(C(=O)CO)C3(C)CC(O)C12F,-0.3934,394.44,0.62,115.06,4,6,2,0
CC(=O)OCC(=O)C1(O)C(OC(C)=O)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-0.6112,478.51,1.76,127.2,2,8,4,0
CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,-0.1515,360.45,1.56,94.83,3,5,2,0
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-0.3499,392.47,1.9,94.83,3,5,2,0
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,-0.7273,402.49,2.13,100.9,2,6,3,0
CCCCC(=O)OC1(C(=O)CO)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-0.8918,476.59,3.64,100.9,2,6,6,0
CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-1.3287,410.46,1.84,94.83,3,5,2,0
CC(=O)OCC(=O)C1(O)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-0.9837,434.5,2.47,100.9,2,6,3,0
CC(=O)C1(O)CCC2C3CC(C)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-0.5962,376.47,2.92,74.6,2,4,1,0
CCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-1.4608,380.44,3.56,75.71,1,4,8,2
CCCCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-1.769,408.5,4.34,75.71,1,4,10,2
CCCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-1.6616,394.47,3.95,75.71,1,4,9,2
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,-0.5952,252.27,1.77,58.2,2,2,2,2
CCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-0.8763,366.42,3.17,75.71,1,4,7,2
CC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-0.7757,324.34,2.0,75.71,1,4,4,2
CCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-0.9871,338.36,2.39,75.71,1,4,5,2
CCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-1.0665,352.39,2.78,75.71,1,4,6,2
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1ccc(F)c(Oc2ccccc2)c1,-2.1629,434.29,6.32,59.32,0,4,6,2
CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,-2.6782,505.21,6.49,59.32,0,4,6,2
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,-2.4919,416.3,6.18,59.32,0,4,6,2
CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,-1.6568,391.29,6.11,35.53,0,3,6,2
CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,-2.5689,449.86,6.54,59.32,0,4,6,2
CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C,-1.5281,349.43,5.27,59.32,0,4,5,2
CC(C)=CC1C(C(=O)OCc2cccc(Oc3ccccc3)c2)C1(C)C,-1.1483,350.46,5.76,35.53,0,3,6,2
CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O,0.1664,261.12,1.58,54.86,1,2,2,1
Cc1c[nH]c(=O)[nH]c1=O,0.6585,126.11,-0.63,65.72,2,2,0,1
O=c1[nH]cc(F)c(=O)[nH]1,0.866,130.08,-0.8,65.72,2,2,0,1
O=c1cc[nH]c(=O)[nH]1,0.6672,112.09,-0.94,65.72,2,2,0,1
CSCS(=O)CC(CO)NC(=O)C=Cc1c(C)[nH]c(=O)[nH]c1=O,0.4286,361.45,-1.07,132.12,4,6,8,1
Cn1ccc(=O)[nH]c1=O,0.9967,126.11,-0.93,54.86,1,2,0,1
Cc1[nH]c(=O)n(C(C)(C)C)c(=O)c1Cl,0.1853,216.67,1.25,54.86,1,2,0,1
O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,-0.525,286.72,2.45,61.69,2,3,1,2
CN1C(=O)CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc21,-0.4496,295.3,2.41,75.81,0,4,2,2
O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1,-0.4496,281.27,2.38,84.6,1,4,2,2
O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,-0.3059,315.72,3.04,84.6,1,4,2,2
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,-0.4292,284.75,3.15,32.67,0,2,1,2
O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,-0.3567,321.16,3.1,61.69,2,3,1,2
CCN1c2ncccc2C(=O)N(C)c2cccnc21,0.1195,254.29,2.22,49.33,0,4,1,2
CCN1C(=O)c2cccnc2N(CC)c2ncccc21,0.0033,268.32,2.61,49.33,0,4,2,2
CCN1c2ncccc2C(=O)Nc2c(C(F)(F)F)cc(C)nc21,-0.6484,322.29,3.53,58.12,1,4,1,2
CCN1c2nc(N(C)CCO)ccc2NC(=O)c2cccnc21,-0.2386,313.36,1.63,81.59,2,6,4,2
CCN1c2ncccc2C(=O)N(C)c2ccc(Cl)nc21,-0.6034,288.74,2.88,49.33,0,4,1,2
CCN1c2ncccc2C(=O)Nc2c(C)cc(C)nc21,-0.8163,268.32,2.82,58.12,1,4,1,2
Nc1ccc2cc3ccccc3cc2c1,-1.1144,193.25,3.58,26.02,1,1,0,3
Cc1c2ccccc2c(C)c2ccccc12,-1.7918,206.29,4.61,0.0,0,0,0,3
Oc1c2ccccc2cc2ccccc12,-0.9015,194.23,3.7,20.23,1,1,0,3
Cc1ccc2cc3ccccc3cc2c1,-1.9805,192.26,4.3,0.0,0,0,0,3
Cc1c2ccccc2cc2ccccc12,-1.4628,192.26,4.3,0.0,0,0,0,3
c1ccc2cc3ccccc3cc2c1,-1.6853,178.23,3.99,0.0,0,0,0,3
O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1,-1.2547,284.1,4.69,52.37,0,3,3,2
CCOC(=O)NCCOc1ccc(Oc2ccccc2)cc1,-0.887,301.34,3.6,56.79,1,4,7,2
COc1ccc(Oc2ccc(NC(=O)N(C)C)cc2)cc1,-0.6257,286.33,3.58,50.8,1,3,4,2
Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,-0.7708,289.54,5.14,29.46,1,2,2,2
CN(C)C(=O)Nc1ccc(Oc2ccc(Cl)cc2)cc1,-0.9789,290.75,4.23,41.57,1,2,3,2
c1ccc(Oc2ccccc2)cc1,-0.5289,170.21,3.48,9.23,0,1,2,2
c1ccc2c(c1)ccc1c3ccccc3ccc21,-2.5113,228.29,5.15,0.0,0,0,0,4
Cc1cc2c3ccccc3ccc2c2ccccc12,-1.7918,242.32,5.45,0.0,0,0,0,4
Nc1cc2c3ccccc3ccc2c2ccccc12,-1.6128,243.31,4.73,26.02,1,1,0,4
Cc1cc2ccccc2c2ccc3ccccc3c12,-1.8015,242.32,5.45,0.0,0,0,0,4
Cc1c(C)c2c3ccccc3ccc2c2ccccc12,-2.0047,256.35,5.76,0.0,0,0,0,4
Cc1ccc2ccc(C)nc2c1,0.4485,157.22,2.85,12.89,0,1,0,2
Oc1ccc2ncccc2c1,0.342,145.16,1.94,33.12,1,2,0,2
Oc1cccc2ncccc12,0.1582,145.16,1.94,33.12,1,2,0,2
Oc1cccc2cccnc12,0.2162,145.16,1.94,33.12,1,2,0,2
c1ccc2ncccc2c1,0.7581,129.16,2.23,12.89,0,1,0,2
CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,-0.3741,304.35,3.58,53.47,0,6,7,1
CCCCc1c(C)nc(N(C)C)nc1O,0.3033,209.29,1.9,49.25,1,4,4,1
c1cncnc1,1.9194,80.09,0.48,25.78,0,2,0,1
Cc1nc(N(C)C)nc(OC(=O)N(C)C)c1C,0.4436,238.29,1.22,58.56,0,5,2,1
CCCCc1c(C)nc(NCC)nc1OS(=O)(=O)N(C)C,-0.6257,316.43,1.74,84.42,1,6,8,1
CCCC1CCCC1,-0.9063,112.22,2.98,0.0,0,0,2,0
C1CCCC1,0.1098,70.14,1.95,0.0,0,0,0,0
CCCCCC1CCCC1,-1.5547,140.27,3.76,0.0,0,0,4,0
CC1CCCC1,-0.2096,84.16,2.2,0.0,0,0,0,0
CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,-1.6805,393.85,3.88,55.84,0,6,8,1
O=C1NC(=O)c2ccccc21,0.1243,147.13,0.57,46.17,1,2,0,1
CCOP(=S)(OCC)N1C(=O)c2ccccc2C1=O,-0.2338,299.29,2.58,55.84,0,5,5,1
O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,-0.887,327.12,3.86,92.47,2,4,3,2
O=C(Nc1ccccc1)c1ccccc1I,-0.6499,323.13,3.54,29.1,1,1,2,2
Cc1cccc(C)c1NC(=O)c1cc(S(N)(=O)=O)c(Cl)cc1O,-0.4467,354.82,2.56,109.49,3,4,3,2
O=C(Nc1ccccc1)c1ccccc1O,-0.3499,213.24,2.64,49.33,2,2,2,2
CCN1c2cc(Cl)ccc2NC(=O)c2cccnc21,-1.2063,273.72,3.46,45.23,1,3,1,2
CCN1c2cc(OC)cc(C)c2NC(=O)c2cccnc21,-1.1062,283.33,3.12,54.46,1,4,2,2
CCN1c2ccccc2N(C)C(=O)c2cccnc21,-0.2212,253.3,2.83,36.44,0,3,1,2
CCN1c2cc(N(C)C)cc(C)c2NC(=O)c2cccnc21,-0.9697,296.37,3.18,48.47,1,4,2,2
Cn1c(=O)c2[nH]cnc2n(C)c1=O,0.7146,180.17,-1.04,72.68,1,3,0,2
Cn1cnc2c1c(=O)[nH]c(=O)n2C,0.1664,180.17,-1.04,72.68,1,3,0,2
Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O,1.3049,254.25,-2.21,102.28,2,5,3,2
Cn1c(=O)c2c(ncn2C)n(C)c1=O,0.9633,194.19,-1.03,61.82,0,3,0,2
OC1C=CC2C1C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,-1.2547,354.88,4.0,20.23,1,1,0,0
ClC1=C(Cl)C2(Cl)C3CC=CC3C1(Cl)C2(Cl)Cl,-1.3418,338.88,5.02,0.0,0,0,0,0
ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,-1.6694,373.32,5.24,0.0,0,0,0,0
Cc1c[nH]c(=O)nc1N,0.6817,125.13,-0.34,71.77,2,3,0,1
Nc1cc[nH]c(=O)n1,0.8283,111.1,-0.65,71.77,2,3,0,1
Nc1nc(=O)[nH]cc1F,0.9168,129.09,-0.51,71.77,2,3,0,1
Cc1c(N)c(=O)n(-c2ccccc2)n1C,1.0852,203.25,1.07,52.95,1,2,1,2
Cc1cc(=O)n(-c2ccccc2)n1C,1.7331,188.23,1.48,26.93,0,1,1,2
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,1.211,231.3,1.55,30.17,0,2,2,2
O=[N+]([O-])c1ccc(C=NO)o1,0.3275,156.1,1.0,88.87,1,5,2,1
O=Cc1ccco1,1.3388,96.08,1.09,30.21,0,2,1,1
c1ccoc1,0.9904,68.07,1.28,13.14,0,1,0,1
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,-0.4563,308.38,3.79,40.62,0,2,5,2
CC(=O)CCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,-0.1951,322.36,2.97,57.69,0,3,5,2
CCCCC1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O,-0.4176,324.38,3.49,60.85,1,3,5,2
C1CCOC1,1.6242,72.11,0.8,9.23,0,1,0,0
CC1CCCO1,1.4404,86.13,1.19,9.23,0,1,0,0
OCC1OC(O)(CO)C(O)C1O,1.6968,180.16,-3.22,110.38,5,6,2,0
CCOC1Oc2ccc(OS(C)(=O)=O)cc2C1(C)C,-0.2676,286.35,2.06,61.83,0,5,4,1
CNC(=O)Oc1cccc2c1OC(C)(C)C2,0.0324,221.26,2.12,47.56,1,3,1,1
CCOC(=O)CCN(SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2)C(C)C,-0.8918,410.54,4.06,68.31,0,7,8,1
OC1CCCCCCC1,0.763,128.22,2.09,20.23,1,1,0,0
C1CCCCCCC1,-0.6208,112.22,3.12,0.0,0,0,0,0
CN(C)C(=O)NC1CCCCCCC1,0.314,198.31,2.37,32.34,1,1,1,0
Cc1ccc2c(ccc3ccccc32)c1,-1.4386,192.26,4.3,0.0,0,0,0,3
c1ccc2c(c1)ccc1ccccc12,-1.1579,178.23,3.99,0.0,0,0,0,3
Cc1cccc2c1ccc1ccccc12,-1.4434,192.26,4.3,0.0,0,0,0,3
c1ccc(CCc2ccccc2)cc1,-0.8483,182.27,3.47,0.0,0,0,3,2
CCC(c1ccc(O)cc1)C(CC)c1ccc(O)cc1,-0.7563,270.37,4.79,40.46,2,2,5,2
OC(c1ccccc1)C(O)c1ccccc1,0.4533,214.26,2.45,40.46,2,2,3,2
CC1=CC(=O)CC(C)(C)C1,0.8743,138.21,2.32,17.07,0,1,0,0
C=C(C)C1CC=C(C)C(=O)C1,0.3904,150.22,2.49,17.07,0,1,1,0
CN(C)C(=O)OC1=CC(=O)CC(C)(C)C1,0.9759,211.26,1.96,46.61,0,3,1,0
C=C(C)C1CC=C(C)CC1,-0.6741,136.24,3.31,0.0,0,0,1,0
C1=CCCCC1,0.134,82.15,2.12,0.0,0,0,0,0
CC1=CCCCC1,-0.1951,96.17,2.51,0.0,0,0,0,0
OC1COC(O)C(O)C1O,1.5759,150.13,-2.58,90.15,4,5,0,0
OCC1OC(O)C(O)C(O)C1O,1.7452,180.16,-3.22,110.38,5,6,1,0
C1CCOCC1,1.3726,86.13,1.19,9.23,0,1,0,0
C=CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,0.2409,244.25,0.87,75.27,2,3,3,1
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,0.2636,232.24,0.7,75.27,2,3,2,1
Nc1cnn(-c2ccccc2)c(=O)c1Br,-0.1259,266.1,1.58,60.91,1,3,1,2
CNc1cnn(-c2cccc(C(F)(F)F)c2)c(=O)c1Cl,-0.5705,303.67,2.95,46.92,1,3,2,2
Nc1cnn(-c2ccccc2)c(=O)c1Cl,-0.0054,221.65,1.47,60.91,1,3,1,2
CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,-1.0466,272.39,3.61,40.46,2,2,0,1
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,-0.6934,296.41,3.61,40.46,2,2,0,1
CC12CCC3c4ccc(O)cc4CCC3C1CC(O)C2O,-1.0104,288.39,2.58,60.69,3,3,0,1
c1ccc2scnc2c1,0.6614,135.19,2.3,12.89,0,2,0,2
CCOc1ccc2nc(S(N)(=O)=O)sc2c1,-0.4563,258.32,1.34,82.28,1,5,3,2
Sc1nc2ccccc2s1,-0.1515,167.26,2.58,12.89,1,3,0,2
COc1ccc2ccc(=O)oc2c1CC=C(C)C,-0.7002,244.29,3.31,39.44,0,3,3,2
CCOP(=S)(OCC)Oc1ccc2oc(=O)c(Cl)c(C)c2c1,-1.217,362.77,4.43,57.9,0,6,6,2
CCN1C(=O)c2ccccc2Oc2ccccc21,-0.3934,239.27,3.46,29.54,0,2,1,2
Cc1ccc2c(c1)C(=O)N(C)c1cc(N)ccc1O2,-0.5134,254.29,2.96,55.56,1,3,0,2
c1cc2c3c(c4ccc5ccccc5c4cc3c1)CC2,-2.4111,254.33,5.24,0.0,0,0,0,4
Cc1ccc2c(ccc3c4c5c(cccc5cc32)CC4)c1,-2.445,268.36,5.55,0.0,0,0,0,4
Cc1ncc([N+](=O)[O-])n1CCO,0.7969,171.16,0.09,81.19,1,4,3,1
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,0.1146,297.75,-0.35,118.36,3,5,1,1
NS(=O)(=O)c1cc2c(cc1Cl)NC(C(Cl)Cl)NS2(=O)=O,0.0904,380.66,0.82,118.36,3,5,2,1
CC1=CC(=O)c2ccccc2C1=O,-0.0789,172.18,2.01,34.14,0,2,0,1
O=C(CC(Cl)Cl)NC1=C(Cl)C(=O)c2ccccc2C1=O,-1.0466,332.57,2.83,63.24,1,3,3,1
CCCCc1c(C)nc(NCC)[nH]c1=O,-0.078,209.29,1.85,57.78,2,3,5,1
O=c1ccnc(S)[nH]1,0.2874,128.16,0.06,45.75,2,3,0,1
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,-0.4965,308.33,3.61,67.51,1,4,4,3
CC(=O)CC(c1ccc(Cl)cc1)c1c(O)c2ccccc2oc1=O,-1.4381,342.78,4.26,67.51,1,4,4,3
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,-0.5875,780.95,2.22,203.06,6,14,7,0
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,-1.1739,764.95,3.25,182.83,5,13,7,0
Cc1c[nH]c2ccccc12,0.2162,131.18,2.48,15.79,1,0,0,2
c1ccc2[nH]ccc2c1,0.6517,117.15,2.17,15.79,1,0,0,2
CCOP(=S)(OCC)SCn1c(=O)oc2cc(Cl)ccc21,-1.1449,367.82,4.24,53.6,0,6,7,2
O=c1[nH]c2cc(Cl)ccc2o1,0.0174,169.57,1.77,46.0,1,2,0,2
NC(=O)NC1NC(=O)NC1=O,0.613,158.12,-2.18,113.32,4,3,1,0
O=C1CNC(=O)N1,1.1936,100.08,-1.17,58.2,2,2,0,0
CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,-0.1176,360.45,1.99,91.67,2,5,2,0
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(=O)CC21C,-0.6499,402.49,2.56,97.74,1,6,3,0
c1ccc2nc3ccccc3cc2c1,-0.3886,179.22,3.39,12.89,0,1,0,3
Nc1cccc2nc3ccccc3cc12,-0.6547,194.24,2.97,38.91,1,2,0,3
C1CCCCCC1,-0.3112,98.19,2.73,0.0,0,0,0,0
OC1CCCCCC1,0.9614,114.19,1.7,20.23,1,1,0,0
Nc1ncnc2nc[nH]c12,0.3614,135.13,-0.06,80.48,2,4,0,2
